"Control Deficiency Risk Crosswalk
(possible risks associated with a control deficiency)",,,,,,,,,Inability to maintain individual accountability,Improper assignment of privileged functions ,Privilege escalation,Unauthorized access,"Lost, damaged or stolen asset(s)",Loss of integrity through unauthorized changes,Business interruption,Data loss / corruption,Reduction in productivity,Information loss / compromise due to technical attack,Information loss /compromise due to non‐technical attack ,Loss of revenue,Cancelled contract,Diminished competitive advantage,Diminished reputation ,Fines and judgements ,Unmitigated vulnerabilities,System compromise ,Inability to support business processes,Incorrect controls scoping,Inadequate internal practices ,Inadequate third-party practices ,Lack of oversight of internal controls ,Lack of oversight of third-party controls ,Lack of roles & responsibilities ,Illegal content or abusive action ,Inability to investigate / prosecute incidents,Improper response to incidents,Ineffective remediation actions,Expense associated with managing a loss event,Inability to maintain situational awareness,Lack of a security-minded workforce,
Incident Response,IRO-12(c),Post-Spill Operations,IRO-12.3,Mechanisms exist to ensure that organizational personnel impacted by sensitive information spills can continue to carry out assigned tasks while contaminated systems are undergoing corrective actions. ,8,Technical,Enhanced,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Incident Response,IRO-12(d),Exposure to Unauthorized Personnel,IRO-12.4,Mechanisms exist to address security safeguards for personnel exposed to sensitive information that is not within their assigned access authorizations. ,8,Technical,Enhanced,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Incident Response,IRO-13,Root Cause Analysis (RCA) & Lessons Learned,IRO-13,Mechanisms exist to incorporate lessons learned from analyzing and resolving cybersecurity and privacy incidents to reduce the likelihood or impact of future incidents. ,10,Technical,Basic,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Incident Response,IRO-14,Regulatory & Law Enforcement Contacts ,IRO-14,Mechanisms exist to maintain incident response contacts with applicable regulatory and law enforcement agencies. ,9,Technical,Basic,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Incident Response,IRO-15,Detonation Chambers (Sandboxes),IRO-15,Mechanisms exist to utilize a detonation chamber capability to detect and/or block potentially-malicious files and email attachments,5,Technical,Enhanced,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Information Assurance ,IAO-01,Information Assurance (IA) Operations,IAO-01,Mechanisms exist to facilitate the implementation of cybersecurity and privacy assessment and authorization controls. ,10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Information Assurance ,IAO-02,Assessments ,IAO-02,"Mechanisms exist to formally assess the cybersecurity and privacy controls in systems, applications and services through Information Assurance Program (IAP) activities to determine the extent to which the controls are implemented correctly, operating as intended and producing the desired outcome with respect to meeting expected requirements.",10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Information Assurance ,IAO-02(a),Assessor Independence,IAO-02.1,Mechanisms exist to ensure assessors or assessment teams have the appropriate independence to conduct cybersecurity and privacy control assessments. ,9,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Information Assurance ,IAO-02(b),Specialized Assessments,IAO-02.2,"Mechanisms exist to conduct specialized assessments for: 
 ▪ Statutory, regulatory and contractual compliance obligations;
 ▪ Monitoring capabilities; 
 ▪ Mobile devices;
 ▪ Databases;
 ▪ Application security;
 ▪ Embedded technologies (e.g., IoT, OT, etc.);
 ▪ Vulnerability management; 
 ▪ Malicious code; 
 ▪ Insider threats and
 ▪ Performance/load testing. ",9,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Information Assurance ,IAO-02(c),Third-Party Assessments,IAO-02.3,"Mechanisms exist to accept and respond to the results of external assessments that are performed by impartial, external organizations. ",9,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Information Assurance ,IAO-03,System Security Plans (SSP),IAO-03,"Mechanisms exist to generate System Security Plans (SSPs), or similar document repositories, to identify and maintain key architectural information on each critical system, application or service, as well as influencing inputs, entities, systems, applications and processes, providing a historical record of the data and its origins.",10,Technical,Basic,Identify,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Information Assurance ,IAO-03(a),Plan / Coordinate with Other Organizational Entities,IAO-03.1,Mechanisms exist to plan and coordinate Information Assurance Program (IAP) activities with affected stakeholders before conducting such activities in order to reduce the potential impact on operations. ,5,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Information Assurance ,IAO-03(b),Adequate Security for Sensitive Data In Support of Contracts,IAO-03.2,"Mechanisms exist to protect sensitive data that is collected, developed, received, transmitted, used or stored in support of the performance of a contract. ",10,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Information Assurance ,IAO-04,Threat Analysis & Flaw Remediation During Development,IAO-04,Mechanisms exist to require system developers and integrators to create and execute a Security Test and Evaluation (ST&E) plan to identify and remediate flaws during development.,10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Information Assurance ,IAO-05,Plan of Action & Milestones (POA&M),IAO-05,"Mechanisms exist to generate a Plan of Action and Milestones (POA&M), or similar risk register, to document planned remedial actions to correct weaknesses or deficiencies noted during the assessment of the security controls and to reduce or eliminate known vulnerabilities.",10,Technical,Basic,Detect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Information Assurance ,IAO-06,Technical Verification,IAO-06,"Mechanisms exist to perform Information Assurance Program (IAP) activities to evaluate the design, implementation and effectiveness of technical security and privacy controls.",10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Information Assurance ,IAO-07,Security Authorization ,IAO-07,"Mechanisms exist to ensure systems, projects and services are officially authorized prior to ""go live"" in a production environment.",10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Maintenance,MNT-01,Maintenance Operations ,MNT-01,"Mechanisms exist to develop, disseminate, review & update procedures to facilitate the implementation of maintenance controls across the enterprise.",10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Maintenance,MNT-02,Controlled Maintenance ,MNT-02,"Mechanisms exist to conduct controlled maintenance activities throughout the lifecycle of the system, application or service.",10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Maintenance,MNT-02(a),Automated Maintenance Activities,MNT-02.1,"Automated mechanisms exist to schedule, conduct and document maintenance and repairs.",5,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Maintenance,MNT-03,Timely Maintenance,MNT-03,Mechanisms exist to obtain maintenance support and/or spare parts for systems within a defined Recovery Time Objective (RTO).,10,All Users,Basic,Protect,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Maintenance,MNT-03(a),Preventative Maintenance,MNT-03.1,"Mechanisms exist to perform preventive maintenance on critical systems, applications and services.",5,Technical,Enhanced,Protect,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Maintenance,MNT-03(b),Predictive Maintenance,MNT-03.2,"Mechanisms exist to perform predictive maintenance on critical systems, applications and services.",5,Technical,Enhanced,Protect,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,x,,,
Maintenance,MNT-03(c),Automated Support For Predictive Maintenance,MNT-03.3,Automated mechanisms exist to transfer predictive maintenance data to a computerized maintenance management system.,5,Technical,Enhanced,Protect,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,x,,,
Maintenance,MNT-04,Maintenance Tools,MNT-04,Mechanisms exist to control and monitor the use of system maintenance tools. ,5,Technical,Basic,Protect,x,,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,
Maintenance,MNT-04(a),Inspect Tools ,MNT-04.1,Mechanisms exist to inspect maintenance tools carried into a facility by maintenance personnel for improper or unauthorized modifications. ,5,Technical,Enhanced,Protect,x,,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,
Maintenance,MNT-04(b),Inspect Media ,MNT-04.2,Mechanisms exist to check media containing diagnostic and test programs for malicious code before the media are used. ,5,Technical,Enhanced,Protect,x,,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,
Maintenance,MNT-04(c),Prevent Unauthorized Removal ,MNT-04.3,Mechanisms exist to prevent or control the removal of equipment undergoing maintenance that containing organizational information.,9,Technical,Basic,Protect,,,,x,x,,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,,x,x,,
Maintenance,MNT-04(d),Restrict Tool Usage,MNT-04.4,Automated mechanisms exist to restrict the use of maintenance tools to authorized maintenance personnel and/or roles.,5,Technical,Enhanced,Protect,x,,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,
Maintenance,MNT-05,Non-Local Maintenance,MNT-05,"Mechanisms exist to authorize, monitor and control non-local maintenance and diagnostic activities.",10,Technical,Basic,Protect,x,,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,
Maintenance,MNT-05(a),Auditing,MNT-05.1,Mechanisms exist to audit non-local maintenance and diagnostic sessions and review the maintenance records of the sessions. ,9,Technical,Enhanced,Detect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Maintenance,MNT-05(b),Notification of Non-Local Maintenance,MNT-05.2,"Mechanisms exist to require maintenance personnel to notify organization-defined personnel when non-local maintenance is planned (e.g., date/time).",9,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,
Maintenance,MNT-05(c),Cryptographic Protection,MNT-05.3,Cryptographic mechanisms exist to protect the integrity and confidentiality of non-local maintenance and diagnostic communications. ,10,Technical,Basic,Protect,,,x,x,x,x,x,x,x,,,x,x,x,x,x,,x,x,x,x,x,,,x,,x,x,,x,x,,
Maintenance,MNT-05(d),Remote Disconnect Verification,MNT-05.4,Mechanisms exist to provide remote disconnect verification to ensure non-local maintenance and diagnostic sessions are properly terminated.,9,Technical,Enhanced,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Maintenance,MNT-05(e),Pre-Approval of Non-Local Maintenance,MNT-05.5,Mechanisms exist to require maintenance personnel to obtain pre-approval and scheduling for non-local maintenance sessions.,7,Technical,Enhanced,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Maintenance,MNT-05(f),Comparable Security & Sanitization,MNT-05.6,Mechanisms exist to require systems performing non-local maintenance and / or diagnostic services implement a security capability comparable to the capability implemented on the system being serviced.,5,Technical,Enhanced,Protect,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Maintenance,MNT-06,Authorized Maintenance Personnel,MNT-06,Mechanisms exist to maintain a current list of authorized maintenance organizations or personnel.,9,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,
Maintenance,MNT-06(a),Maintenance Personnel Without Appropriate Access ,MNT-06.1,"Mechanisms exist to ensure the risks associated with maintenance personnel who do not have appropriate access authorizations, clearances or formal access approvals are appropriately mitigated.",7,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,
Maintenance,MNT-06(b),Non-System Related Maintenance,MNT-06.2,Mechanisms exist to ensure that non-escorted personnel performing non-IT maintenance activities in the physical proximity of IT systems have required access authorizations.,5,Technical,Enhanced,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,,x,,x,,,x,x,,
Mobile Device Management,MDM-01,Centralized Management Of Mobile Devices ,MDM-01,"Mechanisms exist to develop, govern & update procedures to facilitate the implementation of mobile device management controls.",10,All Users,Basic,Protect,x,,,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Mobile Device Management,MDM-02,Access Control For Mobile Devices,MDM-02,Mechanisms exist to enforce access control requirements for the connection of mobile devices to organizational systems. ,9,Technical,Basic,Protect,x,,,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Mobile Device Management,MDM-03,Full Device & Container-Based Encryption ,MDM-03,Cryptographic mechanisms exist to protect the confidentiality and integrity of information on mobile devices through full-device or container encryption.,9,Technical,Basic,Protect,,,,x,,,,x,,x,x,x,x,x,x,x,,x,x,x,x,x,,,x,,,,,x,,,
Mobile Device Management,MDM-04,Mobile Device Tampering,MDM-04,"Mechanisms exist to protect mobile devices from tampering through inspecting devices returning from locations that the organization deems to be of significant risk, prior to the device being connected to the organization’s network.",9,Technical,Basic,Protect,,,x,x,x,x,x,x,,x,x,x,x,x,x,x,,x,x,x,x,x,,,x,,x,,,x,x,,
Mobile Device Management,MDM-05,Remote Purging,MDM-05,Mechanisms exist to remotely purge selected information from mobile devices. ,9,Technical,Enhanced,Protect,,,x,x,,,,x,,x,x,x,x,x,x,x,,x,x,x,x,x,,,x,,,,x,x,,,
Mobile Device Management,MDM-06,Personally-Owned Mobile Devices ,MDM-06,"Mechanisms exist to restrict the connection of personally-owned, mobile devices to organizational systems and networks. ",10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Mobile Device Management,MDM-07,Organization-Owned Mobile Devices ,MDM-07,Mechanisms exist to prohibit the installation of non-approved applications or approved applications not obtained through the organization-approved application store.,10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Mobile Device Management,MDM-08,Mobile Device Data Retention Limitations,MDM-08,Mechanisms exist to limit data retention on mobile devices to the smallest usable dataset and timeframe.,7,Technical,Basic,Protect,,,,,,,,x,,,,x,x,x,x,x,,,,,x,x,,,,,,,,x,,,
Network Security,NET-01,Network Security Management ,NET-01,"Mechanisms exist to develop, govern & update procedures to facilitate the implementation of network security controls.",10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Network Security,NET-02,Layered Network Defenses ,NET-02,Mechanisms exist to implement security functions as a layered structure that minimizes interactions between layers of the design and avoiding any dependence by lower layers on the functionality or correctness of higher layers. ,9,Technical,Basic,Protect,,,x,x,x,,x,x,,x,x,x,x,x,x,x,,,x,x,x,x,x,x,,,,,,x,,,
Network Security,NET-02(a),Denial of Service (DoS) Protection,NET-02.1,Automated mechanisms exist to protect against or limit the effects of denial of service attacks. ,9,Technical,Basic,Protect,,,,,,,x,,x,,,,,x,x,,,,x,x,,,,,,,,,,,,,
Network Security,NET-02(b),Guest Networks,NET-02.2,Mechanisms exist to implement and manage a secure guest network. ,10,Technical,Basic,Protect,x,,x,x,,x,x,x,x,x,,x,x,x,x,x,,x,x,x,x,x,x,x,,x,x,x,,x,x,,
Network Security,NET-03,Boundary Protection ,NET-03,Mechanisms exist to monitor and control communications at the external network boundary and at key internal boundaries within the network.,10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Network Security,NET-03(a),Network Access Points,NET-03.1,Mechanisms exist to limit network access points.,10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Network Security,NET-03(b),External Telecommunications Services ,NET-03.2,Mechanisms exist to maintain a managed interface for each external telecommunication service that protects the confidentiality and integrity of the information being transmitted across each interface.,10,Technical,Basic,Protect,,,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,x,x,,x,x,,
Network Security,NET-03(c),Prevent Discovery of Internal Information,NET-03.3,Mechanisms exist to prevent the public disclosure of internal network information. ,7,Technical,Basic,Protect,,,,,,,,x,,x,,,,,x,,,x,x,x,x,x,,,,,,,,,,,
Network Security,NET-03(d),Personal Data (PD),NET-03.4,Mechanisms exist to apply network-based processing rules to data elements of Personal Data (PD).,7,Technical,Enhanced,Protect,,,,x,x,x,,x,,x,x,x,x,x,x,x,,,x,x,x,x,,,,,,,,x,,,
Network Security,NET-03(e),Prevent Unauthorized Exfiltration,NET-03.5,Automated mechanisms exist to prevent the unauthorized exfiltration of sensitive data across managed interfaces. ,5,Technical,Enhanced,Protect,,,,,,,,x,,x,x,x,x,x,x,x,,,x,x,x,x,,,,,,x,,x,x,,
Network Security,NET-03(f),Dynamic Isolation & Segregation (Sandboxing),NET-03.6,"Automated mechanisms exist to dynamically isolate (e.g., sandbox) untrusted components during runtime, where the component is isolated in a fault-contained environment but it can still collaborate with the application. ",5,Technical,Enhanced,Protect,,,x,x,x,x,x,x,x,x,,x,x,x,x,x,,x,x,,,,,,,,,,,x,,,
Network Security,NET-03(g),Isolation of Information System Components (DMZ),NET-03.7,"Mechanisms exist to employ boundary protections to isolate systems, services and process that support critical missions and/or business functions. ",5,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Network Security,NET-03(h),Separate Subnet for Connecting to Different Security Domains,NET-03.8,"Mechanisms exist to implement separate network addresses (e.g., different subnets) to connect to systems in different security domains.",5,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
